date_time,eth_only,btc_only,invest_50_50,invest_60_40,invest_80_20,invest_day
2019-01-01,10000.0,10000.0,10000.0,10000.0,10000.0,1
2019-01-02,10984.62,10157.08,10570.85,10653.6,10819.11,2
2019-01-03,10535.24,9899.3,10217.27,10280.86,10408.05,3
2019-01-04,10965.3,9986.2,10475.75,10573.66,10769.48,4
2019-01-05,11008.94,9925.02,10466.98,10575.37,10792.16,5
2019-01-06,11157.07,10561.64,10859.35,10918.9,11037.98,6
2019-01-07,10777.82,10468.36,10623.09,10654.04,10715.93,7
2019-01-08,10662.61,10438.46,10550.54,10572.95,10617.78,8
2019-01-09,10701.97,10465.28,10583.62,10607.29,10654.63,9
2019-01-10,9048.3,9477.33,9262.81,9219.91,9134.11,10
2019-01-11,9003.94,9500.8,9252.37,9202.68,9103.31,11
2019-01-12,8915.21,9453.83,9184.52,9130.66,9022.93,12
2019-01-13,8270.48,9184.91,8727.7,8636.26,8453.37,13
2019-01-14,9187.12,9576.83,9381.97,9343.0,9265.06,14
2019-01-15,8586.76,9362.25,8974.51,8896.96,8741.86,15
2019-01-16,8738.46,9427.75,9083.1,9014.18,8876.32,16
2019-01-17,8769.23,9508.4,9138.82,9064.9,8917.07,17
2019-01-18,8553.13,9440.95,8997.04,8908.26,8730.69,18
2019-01-19,8807.87,9620.76,9214.32,9133.03,8970.45,19
2019-01-20,8402.86,9243.67,8823.27,8739.18,8571.02,20
2019-01-21,8290.52,9230.7,8760.61,8666.59,8478.56,21
2019-01-22,8449.37,9348.45,8898.91,8809.0,8629.19,22
2019-01-23,8339.89,9286.24,8813.07,8718.43,8529.16,23
2019-01-24,8329.16,9334.05,8831.6,8731.11,8530.14,24
2019-01-25,8233.27,9307.13,8770.2,8662.82,8448.04,25
2019-01-26,8229.7,9294.24,8761.97,8655.51,8442.61,26
2019-01-27,7967.8,9228.77,8598.29,8472.19,8219.99,27
2019-01-28,7547.05,8964.61,8255.83,8114.07,7830.56,28
2019-01-29,7429.7,8879.59,8154.64,8009.65,7719.67,29
2019-01-30,7700.18,8984.48,8342.33,8213.9,7957.04,30
2019-01-31,7567.8,8916.39,8242.09,8107.24,7837.52,31
2019-02-01,7573.52,8984.34,8278.93,8137.85,7855.69,32
2019-02-02,7816.82,9065.18,8441.0,8316.16,8066.49,33
2019-02-03,7578.53,8924.96,8251.75,8117.1,7847.82,34
2019-02-04,7590.7,8911.35,8251.02,8118.96,7854.83,35
2019-02-05,7584.97,8968.38,8276.67,8138.33,7861.65,36
2019-02-06,7388.91,8801.13,8095.02,7953.8,7671.35,37
2019-02-07,7393.2,8779.17,8086.19,7947.59,7670.4,38
2019-02-08,8440.79,9466.53,8953.66,8851.09,8645.94,39
2019-02-09,8442.22,9476.23,8959.22,8855.82,8649.02,40
2019-02-10,8868.69,9536.71,9202.7,9135.9,9002.3,41
2019-02-11,8545.97,9383.86,8964.92,8881.13,8713.55,42
2019-02-12,8645.44,9379.29,9012.36,8938.98,8792.21,43
2019-02-13,8628.26,9348.11,8988.19,8916.2,8772.23,44
2019-02-14,8535.24,9308.43,8921.84,8844.52,8689.88,45
2019-02-15,8618.96,9323.85,8971.41,8900.92,8759.94,46
2019-02-16,8706.98,9356.58,9031.78,8966.82,8836.9,47
2019-02-17,9468.34,9474.61,9471.47,9470.85,9469.59,48
2019-02-18,10348.48,10106.9,10227.69,10251.85,10300.16,49
2019-02-19,10210.38,10162.99,10186.68,10191.42,10200.9,50
2019-02-20,10520.93,10295.05,10407.99,10430.58,10475.75,51
2019-02-21,10319.14,10187.16,10253.15,10266.35,10292.75,52
2019-02-22,10495.89,10302.97,10399.43,10418.72,10457.3,53
2019-02-23,11274.42,10751.23,11012.83,11065.15,11169.78,54
2019-02-24,9427.55,9759.86,9593.7,9560.47,9494.01,55
2019-02-25,9849.02,9980.89,9914.96,9901.77,9875.39,56
2019-02-26,9710.91,9930.43,9820.67,9798.72,9754.81,57
2019-02-27,9621.47,9931.55,9776.51,9745.5,9683.48,58
2019-02-28,9622.9,9911.24,9767.07,9738.24,9680.57,59
2019-03-01,9653.67,9947.91,9800.79,9771.36,9712.52,60
2019-03-02,9468.34,9957.14,9712.74,9663.86,9566.1,61
2019-03-03,9288.73,9897.62,9593.18,9532.29,9410.51,62
2019-03-04,8961.72,9672.3,9317.01,9245.95,9103.83,63
2019-03-05,9744.54,10049.14,9896.84,9866.38,9805.46,64
2019-03-06,9803.22,10067.41,9935.31,9908.89,9856.06,65
2019-03-07,9752.42,10080.89,9916.65,9883.81,9818.11,66
2019-03-08,9498.39,10044.48,9771.44,9716.83,9607.61,67
2019-03-09,9755.28,10236.09,9995.68,9947.6,9851.44,68
2019-03-10,9635.78,10195.58,9915.68,9859.7,9747.74,69
2019-03-11,9449.02,10061.63,9755.32,9694.06,9571.54,70
2019-03-12,9502.68,10088.6,9795.64,9737.05,9619.87,71
2019-03-13,9385.33,10065.13,9725.23,9657.25,9521.29,72
2019-03-14,9402.5,10072.79,9737.65,9670.62,9536.56,73
2019-03-15,9730.95,10200.47,9965.71,9918.75,9824.85,74
2019-03-16,10052.24,10428.37,10240.3,10202.69,10127.46,75
2019-03-17,9879.79,10364.34,10122.06,10073.61,9976.7,76
2019-03-18,9803.94,10375.03,10089.48,10032.37,9918.15,77
2019-03-19,9880.5,10456.73,10168.62,10110.99,9995.75,78
2019-03-20,9927.01,10537.75,10232.38,10171.31,10049.16,79
2019-03-21,9610.02,10383.31,9996.67,9919.34,9764.68,80
2019-03-22,9712.34,10412.12,10062.23,9992.25,9852.3,81
2019-03-23,9768.87,10411.2,10090.04,10025.8,9897.34,82
2019-03-24,9680.86,10374.85,10027.85,9958.45,9819.66,83
2019-03-25,9512.7,10212.83,9862.76,9792.75,9652.73,84
2019-03-26,9537.75,10249.21,9893.48,9822.33,9680.04,85
2019-03-27,9944.19,10523.85,10234.02,10176.05,10060.12,86
2019-03-28,9831.84,10483.7,10157.77,10092.59,9962.21,87
2019-03-29,10220.39,10692.38,10456.38,10409.19,10314.79,88
2019-03-30,10180.32,10700.56,10440.44,10388.42,10284.37,89
2019-03-31,10090.88,10702.78,10396.83,10335.64,10213.26,90
2019-04-01,10091.59,10812.58,10452.08,10379.99,10235.79,91
2019-04-02,11784.62,12816.71,12300.66,12197.45,11991.03,92
2019-04-03,11544.19,13005.33,12274.76,12128.64,11836.42,93
2019-04-04,11278.71,12823.74,12051.22,11896.72,11587.72,94
2019-04-05,11884.08,13171.98,12528.03,12399.24,12141.66,95
2019-04-06,11863.33,13196.78,12530.05,12396.71,12130.02,96
2019-04-07,12501.61,13577.25,13039.43,12931.86,12716.74,97
2019-04-08,12933.09,13814.43,13373.76,13285.63,13109.36,98
2019-04-09,12586.76,13557.43,13072.1,12975.03,12780.9,99
2019-04-10,12715.56,13907.11,13311.34,13192.18,12953.87,100
2019-04-11,11797.5,13176.08,12486.79,12348.93,12073.21,101
2019-04-12,11754.56,13272.5,12513.53,12361.74,12058.15,102
2019-04-13,11717.35,13241.21,12479.28,12326.9,12022.12,103
2019-04-14,12020.04,13497.48,12758.76,12611.01,12315.52,104
2019-04-15,11442.58,13139.52,12291.05,12121.35,11781.96,105
2019-04-16,11905.55,13598.44,12751.99,12582.7,12244.12,106
2019-04-17,11916.99,13655.94,12786.47,12612.57,12264.78,107
2019-04-18,12453.67,13801.23,13127.45,12992.69,12723.18,108
2019-04-19,12416.46,13827.03,13121.74,12980.69,12698.57,109
2019-04-20,12431.48,13904.21,13167.85,13020.58,12726.03,110
2019-04-21,12157.42,13846.06,13001.74,12832.88,12495.15,111
2019-04-22,12277.64,14081.18,13179.41,12999.05,12638.35,112
2019-04-23,12174.6,14441.34,13307.97,13081.29,12627.95,113
2019-04-24,11866.91,14223.88,13045.39,12809.7,12338.3,114
2019-04-25,10880.14,13420.48,12150.31,11896.28,11388.21,115
2019-04-26,10977.46,13485.04,12231.25,11980.49,11478.98,116
2019-04-27,11143.47,13514.02,12328.75,12091.69,11617.58,117
2019-04-28,10961.72,13478.53,12220.12,11968.44,11465.08,118
2019-04-29,10906.62,13455.61,12181.11,11926.21,11416.42,119
2019-04-30,11477.64,13775.62,12626.63,12396.83,11937.23,120
2019-05-01,11327.37,13907.5,12617.44,12359.42,11843.4,121
2019-05-02,11343.11,14090.09,12716.6,12441.9,11892.51,122
2019-05-03,11788.19,14788.48,13288.34,12988.31,12388.25,123
2019-05-04,11588.55,15080.66,13334.6,12985.39,12286.97,124
2019-05-05,11545.62,14939.13,13242.37,12903.02,12224.32,125
2019-05-06,12251.16,14862.78,13556.97,13295.81,12773.49,126
2019-05-07,11914.85,15024.31,13469.58,13158.63,12536.74,127
2019-05-08,12134.53,15546.93,13840.73,13499.49,12817.01,128
2019-05-09,12172.45,16077.47,14124.96,13734.46,12953.45,129
2019-05-10,12322.72,16578.6,14450.66,14025.07,13173.9,130
2019-05-11,13760.29,18843.99,16302.14,15793.77,14777.03,131
2019-05-12,13469.05,18227.18,15848.11,15372.3,14420.68,132
2019-05-13,14025.04,20451.45,17238.25,16595.61,15310.33,133
2019-05-14,15559.21,20885.29,18222.25,17689.64,16624.43,134
2019-05-15,17817.53,21440.42,19628.98,19266.69,18542.11,135
2019-05-16,18926.65,20597.21,19761.93,19594.88,19260.77,136
2019-05-17,17501.97,19245.94,18373.96,18199.56,17850.76,137
2019-05-18,16744.9,18981.21,17863.05,17639.42,17192.16,138
2019-05-19,18682.65,21431.75,20057.2,19782.29,19232.47,139
2019-05-20,18046.51,20919.4,19482.95,19195.67,18621.09,140
2019-05-21,18246.87,20790.07,19518.47,19264.15,18755.51,141
2019-05-22,17433.99,19932.78,18683.38,18433.5,17933.75,142
2019-05-23,17577.1,20600.56,19088.83,18786.48,18181.79,143
2019-05-24,17864.04,20906.46,19385.25,19081.01,18472.53,144
2019-05-25,18000.0,21075.8,19537.9,19230.32,18615.16,145
2019-05-26,19192.84,22869.27,21031.06,20663.41,19928.13,146
2019-05-27,19408.94,22927.5,21168.22,20816.37,20112.66,147
2019-05-28,19402.5,22778.7,21090.6,20752.98,20077.74,148
2019-05-29,19276.57,22642.93,20959.75,20623.11,19949.84,149
2019-05-30,18219.68,21634.98,19927.33,19585.8,18902.74,150
2019-05-31,19158.5,22354.09,20756.3,20436.74,19797.62,151
2019-06-01,18946.69,22369.91,20658.3,20315.98,19631.33,152
2019-06-02,19265.12,22834.09,21049.6,20692.7,19978.91,153
2019-06-03,17856.89,21179.9,19518.39,19186.09,18521.49,154
2019-06-04,17254.38,20049.03,18651.71,18372.24,17813.31,155
2019-06-05,17615.74,20358.8,18987.27,18712.96,18164.35,156
2019-06-06,17846.15,20399.36,19122.76,18867.44,18356.8,157
2019-06-07,17838.28,20910.33,19374.3,19067.1,18452.69,158
2019-06-08,17481.22,20726.43,19103.82,18779.3,18130.26,159
2019-06-09,16550.98,19953.95,18252.47,17912.17,17231.58,160
2019-06-10,17734.53,20950.03,19342.28,19020.73,18377.63,161
2019-06-11,17539.18,20695.15,19117.16,18801.56,18170.37,162
2019-06-12,18783.54,21369.07,20076.31,19817.75,19300.65,163
2019-06-13,18256.89,21533.78,19895.33,19567.64,18912.27,164
2019-06-14,18878.71,22731.92,20805.32,20420.0,19649.35,165
2019-06-15,19269.41,23157.34,21213.38,20824.58,20047.0,166
2019-06-16,19200.72,23457.31,21329.01,20903.35,20052.03,167
2019-06-17,19604.29,24389.72,21997.01,21518.46,20561.38,168
2019-06-18,18917.35,23733.04,21325.2,20843.63,19880.49,169
2019-06-19,19233.63,24248.06,21740.85,21239.4,20236.52,170
2019-06-20,19463.33,24911.03,22187.18,21642.41,20552.87,171
2019-06-21,21231.48,26753.61,23992.55,23440.34,22335.91,172
2019-06-22,22078.0,27879.2,24978.6,24398.48,23238.24,173
2019-06-23,21966.37,28264.03,25115.2,24485.43,23225.9,174
2019-06-24,22254.03,28834.37,25544.2,24886.16,23570.09,175
2019-06-25,22654.03,30749.59,26701.81,25892.25,24273.14,176
2019-06-26,23961.36,33769.48,28865.42,27884.61,25922.98,177
2019-06-27,20999.64,29166.23,25082.93,24266.28,22632.96,178
2019-06-28,22137.39,32289.88,27213.63,26198.38,24167.89,179
2019-06-29,22688.37,31011.45,26849.91,26017.6,24352.99,180
2019-06-30,20756.35,28102.51,24429.43,23694.81,22225.58,181
2019-07-01,21016.1,27645.98,24331.04,23668.05,22342.08,182
2019-07-02,20840.79,28302.71,24571.75,23825.56,22333.17,183
2019-07-03,21594.99,31301.9,26448.45,25477.75,23536.37,184
2019-07-04,20219.68,29105.36,24662.52,23773.95,21996.81,185
2019-07-05,20608.23,28744.26,24676.24,23862.64,22235.43,186
2019-07-06,20577.46,29371.34,24974.4,24095.01,22336.24,187
2019-07-07,21920.57,30006.27,25963.42,25154.85,23537.71,188
2019-07-08,22414.31,32111.39,27262.85,26293.14,24353.73,189
2019-07-09,22035.78,32856.2,27445.99,26363.95,24199.86,190
2019-07-10,20641.14,31619.56,26130.35,25032.51,22836.83,191
2019-07-11,19249.37,29662.06,24455.72,23414.45,21331.91,192
2019-07-12,19717.35,30846.03,25281.69,24168.82,21943.09,193
2019-07-13,19251.52,29717.15,24484.34,23437.77,21344.65,194
2019-07-14,16163.86,26619.87,21391.87,20346.27,18255.07,195
2019-07-15,16334.88,28369.54,22352.21,21148.75,18741.82,196
2019-07-16,14231.84,24627.48,19429.66,18390.1,16310.97,197
2019-07-17,15127.01,25342.54,20234.78,19213.22,17170.12,198
2019-07-18,16193.92,27832.7,22013.31,20849.43,18521.67,199
2019-07-19,15828.98,27542.56,21685.77,20514.41,18171.7,200
2019-07-20,16378.53,28125.32,22251.93,21077.25,18727.89,201
2019-07-21,16145.97,27680.14,21913.06,20759.64,18452.81,202
2019-07-22,15537.03,26981.5,21259.26,20114.82,17825.92,203
2019-07-23,15164.94,25719.66,20442.3,19386.83,17275.88,204
2019-07-24,15492.67,25541.94,20517.3,19512.37,17502.52,205
2019-07-25,15690.88,25817.41,20754.14,19741.49,17716.18,206
2019-07-26,15695.89,25725.94,20710.91,19707.91,17701.9,207
2019-07-27,14820.04,24780.77,19800.4,18804.33,16812.18,208
2019-07-28,15134.17,24915.71,20024.94,19046.79,17090.48,209
2019-07-29,15079.07,24816.42,19947.74,18974.01,17026.54,210
2019-07-30,15014.67,25074.15,20044.41,19038.46,17026.56,211
2019-07-31,15649.37,26364.44,21006.91,19935.4,17792.39,212
2019-08-01,15567.08,27204.99,21386.04,20222.25,17894.66,213
2019-08-02,15584.97,27529.36,21557.17,20362.73,17973.85,214
2019-08-03,15895.53,28281.44,22088.48,20849.89,18372.71,215
2019-08-04,15949.91,28715.82,22332.87,21056.27,18503.09,216
2019-08-05,16666.91,30880.74,23773.82,22352.44,19509.67,217
2019-08-06,16158.14,29966.52,23062.33,21681.49,18919.82,218
2019-08-07,16157.42,31298.27,23727.85,22213.76,19185.59,219
2019-08-08,15800.36,31313.87,23557.11,22005.76,18903.06,220
2019-08-09,15048.3,30987.43,23017.86,21423.95,18236.13,221
2019-08-10,14747.76,29484.2,22115.98,20642.34,17695.05,222
2019-08-11,15460.47,30163.25,22811.86,21341.58,18401.02,223
2019-08-12,15116.99,29767.33,22442.16,20977.13,18047.06,224
2019-08-13,14925.22,28370.72,21647.97,20303.42,17614.32,225
2019-08-14,13330.95,26203.86,19767.41,18480.11,15905.53,226
2019-08-15,13466.91,26914.77,20190.84,18846.05,16156.48,227
2019-08-16,13256.53,27058.31,20157.42,18777.24,16016.89,228
2019-08-17,13280.14,26705.5,19992.82,18650.28,15965.21,229
2019-08-18,13934.88,26960.82,20447.85,19145.26,16540.07,230
2019-08-19,14477.28,28545.52,21511.4,20104.58,17290.93,231
2019-08-20,14065.12,28154.57,21109.84,19700.9,16883.01,232
2019-08-21,13407.51,26476.05,19941.78,18634.93,16021.22,233
2019-08-22,13625.04,26416.32,20020.68,18741.56,16183.3,234
2019-08-23,13907.69,27210.08,20558.89,19228.65,16568.17,235
2019-08-24,13659.39,26533.1,20096.25,18808.88,16234.13,236
2019-08-25,13341.68,26498.84,19920.26,18604.54,15973.11,237
2019-08-26,13474.06,27079.72,20276.89,18916.32,16195.19,238
2019-08-27,13386.05,26599.67,19992.86,18671.5,16028.77,239
2019-08-28,12367.08,25389.59,18878.34,17576.09,14971.58,240
2019-08-29,12080.14,24816.39,18448.27,17174.64,14627.39,241
2019-08-30,12050.09,25044.88,18547.48,17248.0,14649.05,242
2019-08-31,12301.97,25093.07,18697.52,17418.41,14860.19,243
2019-09-01,12256.89,25528.68,18892.79,17565.61,14911.25,244
2019-09-02,12794.28,27154.28,19974.28,18538.28,15666.28,245
2019-09-03,12817.17,27750.48,20283.83,18790.49,15803.83,246
2019-09-04,12509.48,27656.99,20083.23,18568.48,15538.98,247
2019-09-05,12450.81,27638.4,20044.6,18525.84,15488.32,248
2019-09-06,12107.33,26943.68,19525.51,18041.87,15074.6,249
2019-09-07,12742.75,27402.24,20072.5,18606.55,15674.65,250
2019-09-08,12991.77,27179.03,20085.4,18666.68,15829.22,251
2019-09-09,12925.22,26946.5,19935.86,18533.73,15729.48,252
2019-09-10,12854.38,26383.26,19618.82,18265.93,15560.16,253
2019-09-11,12770.66,26539.98,19655.32,18278.39,15524.52,254
2019-09-12,12958.14,27243.72,20100.93,18672.37,15815.26,255
2019-09-13,12998.21,27092.68,20045.45,18636.0,15817.1,256
2019-09-14,13504.83,27077.83,20291.33,18934.03,16219.43,257
2019-09-15,13545.62,26949.9,20247.76,18907.33,16226.47,258
2019-09-16,14138.82,26822.46,20480.64,19212.27,16675.55,259
2019-09-17,14880.14,26647.84,20763.99,19587.22,17233.68,260
2019-09-18,15046.15,26542.07,20794.11,19644.52,17345.34,261
2019-09-19,15799.64,26853.45,21326.55,20221.17,18010.4,262
2019-09-20,15606.44,26589.22,21097.83,19999.55,17803.0,263
2019-09-21,15370.3,26097.8,20734.05,19661.3,17515.8,264
2019-09-22,15110.55,26206.32,20658.44,19548.86,17329.71,265
2019-09-23,14366.37,25335.82,19851.1,18754.15,16560.26,266
2019-09-24,11942.75,22294.27,17118.51,16083.36,14013.06,267
2019-09-25,12164.58,22056.4,17110.49,16121.31,14142.94,268
2019-09-26,11867.62,21052.85,16460.23,15541.71,13704.67,269
2019-09-27,12482.29,21416.04,16949.16,16055.79,14269.04,270
2019-09-28,12443.65,21478.97,16961.31,16057.78,14250.71,271
2019-09-29,12120.21,21045.97,16583.09,15690.52,13905.37,272
2019-09-30,12989.62,21719.24,17354.43,16481.47,14735.55,273
2019-10-01,12597.5,21749.35,17173.42,16258.24,14427.87,274
2019-10-02,12938.82,21906.69,17422.76,16525.97,14732.39,275
2019-10-03,12525.94,21537.36,17031.65,16130.51,14328.22,276
2019-10-04,12591.77,21318.5,16955.13,16082.46,14337.12,277
2019-10-05,12635.42,21294.87,16965.14,16099.2,14367.31,278
2019-10-06,12175.31,20542.56,16358.94,15522.21,13848.76,279
2019-10-07,12898.75,21454.41,17176.58,16321.01,14609.88,280
2019-10-08,12931.66,21375.66,17153.66,16309.26,14620.46,281
2019-10-09,13828.98,22451.06,18140.02,17277.81,15553.4,282
2019-10-10,13713.06,22444.53,18078.79,17205.65,15459.35,283
2019-10-11,12940.25,21616.27,17278.26,16410.66,14675.45,284
2019-10-12,12870.13,21702.07,17286.1,16402.9,14636.51,285
2019-10-13,12964.58,21640.84,17302.71,16435.08,14699.83,286
2019-10-14,13370.3,21835.81,17603.06,16756.51,15063.41,287
2019-10-15,12921.65,21333.58,17127.61,16286.42,14604.03,288
2019-10-16,12478.71,20892.14,16685.42,15844.08,14161.4,289
2019-10-17,12687.66,21110.53,16899.09,16056.81,14372.23,290
2019-10-18,12376.39,20795.07,16585.73,15743.86,14060.12,291
2019-10-19,12314.13,20818.27,16566.2,15715.79,14014.96,292
2019-10-20,12561.72,21536.81,17049.27,16151.76,14356.74,293
2019-10-21,12467.98,21478.27,16973.12,16072.09,14270.04,294
2019-10-22,12257.6,20962.86,16610.23,15739.71,13998.65,295
2019-10-23,11618.6,19525.81,15572.21,14781.49,13200.05,296
2019-10-24,11496.96,19421.53,15459.24,14666.79,13081.87,297
2019-10-25,12998.93,22654.92,17826.92,16861.33,14930.13,298
2019-10-26,12882.29,24201.62,18541.95,17410.02,15146.15,299
2019-10-27,13182.11,24957.11,19069.61,17892.11,15537.11,300
2019-10-28,13021.82,24114.63,18568.23,17458.95,15240.39,301
2019-10-29,13674.42,24648.6,19161.51,18064.09,15869.25,302
2019-10-30,13122.0,23952.43,18537.22,17454.17,15288.09,303
2019-10-31,13050.45,23939.47,18494.96,17406.06,15228.25,304
2019-11-01,13108.41,24184.21,18646.31,17538.73,15323.57,305
2019-11-02,13094.81,24329.0,18711.91,17588.49,15341.65,306
2019-11-03,13003.94,24062.41,18533.17,17427.33,15215.63,307
2019-11-04,13327.37,24596.22,18961.8,17834.91,15581.14,308
2019-11-05,13515.56,24359.37,18937.47,17853.09,15684.33,309
2019-11-06,13676.57,24414.6,19045.58,17971.78,15824.17,310
2019-11-07,13339.53,24042.34,18690.94,17620.66,15480.1,311
2019-11-08,13139.18,22903.24,18021.21,17044.8,15091.99,312
2019-11-09,13221.47,23020.54,18121.01,17141.1,15181.28,313
2019-11-10,13515.56,23627.51,18571.53,17560.34,15537.95,314
2019-11-11,13212.88,22791.77,18002.33,17044.44,15128.66,315
2019-11-12,13376.03,23026.06,18201.04,17236.04,15306.03,316
2019-11-13,13432.56,22899.95,18166.25,17219.52,15326.04,317
2019-11-14,13205.72,22555.6,17880.66,16945.68,15075.7,318
2019-11-15,12867.26,22104.7,17485.98,16562.24,14714.75,319
2019-11-16,13041.14,22166.17,17603.66,16691.16,14866.15,320
2019-11-17,13157.78,22215.86,17686.82,16781.01,14969.4,321
2019-11-18,12726.3,21350.3,17038.3,16175.9,14451.1,322
2019-11-19,12574.6,21231.44,16903.02,16037.33,14305.97,323
2019-11-20,12475.85,21125.85,16800.85,15935.85,14205.85,324
2019-11-21,11521.29,19906.59,15713.94,14875.41,13198.35,325
2019-11-22,10731.31,19042.5,14886.9,14055.78,12393.54,326
2019-11-23,10876.57,19156.03,15016.3,14188.35,12532.46,327
2019-11-24,10017.17,18056.61,14036.89,13232.95,11625.06,328
2019-11-25,10442.93,18627.35,14535.14,13716.7,12079.82,329
2019-11-26,10578.18,18720.55,14649.36,13835.13,12206.65,330
2019-11-27,10948.12,19674.97,15311.55,14438.86,12693.49,331
2019-11-28,10805.72,19425.55,15115.64,14253.66,12529.69,332
2019-11-29,11073.35,20265.26,15669.3,14750.11,12911.73,333
2019-11-30,10862.25,19734.64,15298.45,14411.21,12636.73,334
2019-12-01,10802.86,19352.0,15077.43,14222.52,12512.69,335
2019-12-02,10651.16,19092.57,14871.87,14027.73,12339.45,336
2019-12-03,10542.4,19087.16,14814.78,13960.3,12251.35,337
2019-12-04,10411.45,18812.32,14611.88,13771.8,12091.62,338
2019-12-05,10603.22,19323.96,14963.59,14091.52,12347.37,339
2019-12-06,10649.73,19721.65,15185.69,14278.5,12464.12,340
2019-12-07,10549.55,19607.93,15078.74,14172.9,12361.23,341
2019-12-08,10782.11,19654.48,15218.29,14331.06,12556.58,342
2019-12-09,10540.25,19177.52,14858.88,13995.16,12267.7,343
2019-12-10,10421.47,18868.74,14645.11,13800.38,12110.92,344
2019-12-11,10253.31,18821.33,14537.32,13680.52,11966.91,345
2019-12-12,10353.49,18781.29,14567.39,13724.61,12039.05,346
2019-12-13,10339.18,18948.54,14643.86,13782.92,12061.05,347
2019-12-14,10141.68,18485.4,14313.54,13479.17,11810.43,348
2019-12-15,10188.19,18596.17,14392.18,13551.38,11869.79,349
2019-12-16,9471.2,17973.99,13722.6,12872.32,11171.76,350
2019-12-17,8717.71,17293.38,13005.54,12147.98,10432.84,351
2019-12-18,9509.12,19041.66,14275.39,13322.14,11415.63,352
2019-12-19,9172.09,18686.31,13929.2,12977.78,11074.94,353
2019-12-20,9185.69,18802.72,13994.21,13032.5,11109.1,354
2019-12-21,9094.1,18680.64,13887.37,12928.71,11011.41,355
2019-12-22,9474.06,19636.34,14555.2,13538.97,11506.52,356
2019-12-23,9143.47,19107.68,14125.58,13129.15,11136.31,357
2019-12-24,9138.46,18961.89,14050.18,13067.83,11103.15,358
2019-12-25,8941.68,18797.52,13869.6,12884.02,10912.85,359
2019-12-26,8979.61,18806.36,13892.98,12910.31,10944.96,360
2019-12-27,9032.56,18937.9,13985.23,12994.69,11013.63,361
2019-12-28,9152.77,19086.46,14119.62,13126.25,11139.51,362
2019-12-29,9610.02,19301.35,14455.68,13486.55,11548.28,363
2019-12-30,9381.04,18860.64,14120.84,13172.88,11276.96,364
2019-12-31,9201.43,18735.42,13968.43,13015.03,11108.23,365
2020-01-01,9315.92,18751.03,14033.47,13089.96,11202.94,366
2020-01-02,9074.06,18144.59,13609.32,12702.27,10888.17,367
2020-01-03,9600.72,19181.18,14390.95,13432.9,11516.81,368
2020-01-04,9598.57,19206.58,14402.57,13441.77,11520.17,369
2020-01-05,9682.29,19224.28,14453.28,13499.08,11590.69,370
2020-01-06,10317.71,20293.85,15305.78,14308.17,12312.94,371
2020-01-07,10238.28,21323.33,15780.81,14672.3,12455.29,372
2020-01-08,10067.98,21022.19,15545.08,14449.66,12258.82,373
2020-01-09,9854.03,20433.34,15143.68,14085.75,11969.89,374
2020-01-10,10355.64,21426.75,15891.19,14784.08,12569.86,375
2020-01-11,10206.08,20951.41,15578.75,14504.21,12355.15,376
2020-01-12,10490.16,21372.42,15931.29,14843.06,12666.61,377
2020-01-13,10269.05,21183.48,15726.26,14634.82,12451.94,378
